Genotype	Population	LA	Selected	Group
B73/PHW30_307	B73/PHW30	72.132	No	
B73/PHW30_308	B73/PHW30	62.699	No	
B73/PHW30_309	B73/PHW30	73.938	No	
B73/PHW30_310	B73/PHW30	50.305	No	
B73/PHW30_311	B73/PHW30	74.238	No	
B73/PHW30_312	B73/PHW30	71.71	No	
B73/PHW30_313	B73/PHW30	71.38	No	
B73/PHW30_314	B73/PHW30	65.173	No	
B73/PHW30_315	B73/PHW30	70.041	No	
B73/PHW30_316	B73/PHW30	67.649	Yes	Average
B73/PHW30_317	B73/PHW30	58.686	Yes	Flat
B73/PHW30_318	B73/PHW30	72.635	No	
B73/PHW30_319	B73/PHW30	71.855	No	
B73/PHW30_320	B73/PHW30	72.291	No	
B73/PHW30_321	B73/PHW30	69.919	No	
B73/PHW30_322	B73/PHW30	80.155	No	
B73/PHW30_323	B73/PHW30	69.908	No	
B73/PHW30_324	B73/PHW30	69.557	No	
B73/PHW30_325	B73/PHW30	75.247	No	
B73/PHW30_326	B73/PHW30	63.246	No	
B73/PHW30_327	B73/PHW30	39.815	No	
B73/PHW30_328	B73/PHW30	70.115	No	
B73/PHW30_329	B73/PHW30	67.868	No	
B73/PHW30_330	B73/PHW30	62.9	No	
B73/PHW30_331	B73/PHW30	48.841	No	
B73/PHW30_332	B73/PHW30	63.391	No	
B73/PHW30_333	B73/PHW30	63.766	No	
B73/PHW30_334	B73/PHW30	59.234	Yes	Flat
B73/PHW30_335	B73/PHW30	78.639	Yes	Upright
B73/PHW30_336	B73/PHW30	62.647	No	
B73/PHW30_337	B73/PHW30	70.571	No	
B73/PHW30_338	B73/PHW30	74.928	No	
B73/PHW30_339	B73/PHW30	67.626	No	
B73/PHW30_340	B73/PHW30	52.924	No	
B73/PHW30_341	B73/PHW30	75.106	No	
B73/PHW30_342	B73/PHW30	64.459	No	
B73/PHW30_343	B73/PHW30	72.748	No	
B73/PHW30_344	B73/PHW30	70.446	No	
B73/PHW30_345	B73/PHW30	75.22	No	
B73/PHW30_346	B73/PHW30	74.451	No	
B73/PHW30_347	B73/PHW30	64.181	No	
B73/PHW30_348	B73/PHW30	75.925	Yes	Upright
B73/PHW30_349	B73/PHW30	65.75	No	
B73/PHW30_350	B73/PHW30	70.994	No	
B73/PHW30_351	B73/PHW30	71.475	No	
B73/PHW30_352	B73/PHW30	66.384	No	
B73/PHW30_353	B73/PHW30	64.811	No	
B73/PHW30_354	B73/PHW30	70.528	No	
B73/PHW30_355	B73/PHW30	67.307	No	
B73/PHW30_356	B73/PHW30	63.755	No	
B73/PHW30_357	B73/PHW30	54.523	No	
B73/PHW30_358	B73/PHW30	62.835	No	
B73/PHW30_359	B73/PHW30	62.734	No	
B73/PHW30_360	B73/PHW30	64.873	No	
B73/PHW30_361	B73/PHW30	66.642	No	
B73/PHW30_362	B73/PHW30	66.266	No	
B73/PHW30_363	B73/PHW30	65.211	No	
B73/PHW30_364	B73/PHW30	64.631	No	
B73/PHW30_365	B73/PHW30	74.13	No	
B73/PHW30_366	B73/PHW30	70.242	No	
B73/PHW30_367	B73/PHW30	73.86	No	
B73/PHW30_368	B73/PHW30	79.189	Yes	Upright
B73/PHW30_369	B73/PHW30	67.837	Yes	Average
B73/PHW30_370	B73/PHW30	58.366	Yes	Flat
B73/PHW30_371	B73/PHW30	66.082	No	
B73/PHW30_372	B73/PHW30	68.438	No	
B73/PHW30_373	B73/PHW30	64.652	No	
B73/PHW30_374	B73/PHW30	63.819	No	
B73/PHW30_375	B73/PHW30	71.828	No	
B73/PHW30_376	B73/PHW30	62.161	No	
B73/PHW30_377	B73/PHW30	63.122	No	
B73/PHW30_378	B73/PHW30	74.177	No	
B73/PHW30_379	B73/PHW30	74.092	No	
B73/PHW30_380	B73/PHW30	61.3	No	
B73/PHW30_381	B73/PHW30	72.391	No	
B73/PHW30_382	B73/PHW30	65.113	No	
B73/PHW30_383	B73/PHW30	71.224	No	
B73/PHW30_384	B73/PHW30	72.136	No	
B73/PHW30_385	B73/PHW30	69.013	Yes	Average
B73/PHW30_386	B73/PHW30	72.615	No	
B73/PHW30_387	B73/PHW30	63.669	No	
B73/PHW30_388	B73/PHW30	71.385	No	
B73/PHW30_389	B73/PHW30	48.895	No	
B73/PHW30_390	B73/PHW30	64.777	No	
B73/PHW30_391	B73/PHW30	67.317	No	
B73/PHW30_392	B73/PHW30	58.962	Yes	Flat
B73/PHW30_393	B73/PHW30	65.187	No	
B73/PHW30_394	B73/PHW30	69.565	No	
B73/PHW30_395	B73/PHW30	72.228	No	
B73/PHW30_396	B73/PHW30	59.947	Yes	Flat
B73/PHW30_397	B73/PHW30	71.242	No	
B73/PHW30_398	B73/PHW30	69.864	No	
B73/PHW30_399	B73/PHW30	70.993	No	
B73/PHW30_400	B73/PHW30	69.928	No	
B73/PHW30_401	B73/PHW30	65.212	No	
B73/PHW30_402	B73/PHW30	66.318	No	
B73/PHW30_403	B73/PHW30	72.109	No	
B73/PHW30_404	B73/PHW30	67.402	No	
B73/PHW30_405	B73/PHW30	69.563	No	
B73/PHW30_406	B73/PHW30	65.168	No	
B73/PHW30_407	B73/PHW30	70.494	No	
B73/PHW30_408	B73/PHW30	62.645	No	
B73/PHW30_409	B73/PHW30	69.232	Yes	Average
B73/PHW30_410	B73/PHW30	74.213	No	
B73/PHW30_411	B73/PHW30	69.499	No	
B73/PHW30_412	B73/PHW30	68.275	Yes	Average
B73/PHW30_413	B73/PHW30	63.01	No	
B73/PHW30_414	B73/PHW30	71.89	No	
B73	Parent	64.841	No	
B73	Parent	57.412	No	
B73	Parent	64.29	No	
B73	Parent	53.775	No	
B73	Parent	57.436	No	
B73	Parent	53.472	No	
B73	Parent	55.351	No	
B73	Parent	58.481	No	
B73	Parent	65.43	No	
B73	Parent	65.371	No	
B73	Parent	60.695	No	
B73	Parent	63.47	No	
B73	Parent	66.424	No	
B73	Parent	62.963	No	
B73	Parent	63.909	No	
B73	Parent	64.584	No	
B73	Parent	61.688	No	
B73	Parent	60.535	No	
B73	Parent	69.68	No	
B73	Parent	70.958	No	
B73	Parent	58.99	No	
B73	Parent	64.14	No	
B73	Parent	60.813	No	
B73	Parent	64.373	No	
B73	Parent	56.187	No	
B73	Parent	55.402	No	
B73	Parent	65.322	No	
B73	Parent	70.375	No	
B73	Parent	61.84	No	
B73	Parent	68.794	No	
B73	Parent	70.26	No	
B73	Parent	62.183	No	
B73	Parent	55.442	No	
B73	Parent	61.71	No	
B73	Parent	68.8	No	
B73	Parent	67.774	No	
B73	Parent	68.37	No	
B73	Parent	57.824	No	
B73	Parent	59.846	No	
B73	Parent	58.712	No	
B73	Parent	62.559	No	
B73	Parent	68.854	No	
B73	Parent	56.114	No	
B73	Parent	73.749	No	
B73	Parent	73.131	No	
B73	Parent	68.641	No	
Mo17	Parent	57.299	No	
Mo17	Parent	65.604	No	
Mo17	Parent	50.589	No	
Mo17	Parent	61.025	No	
Mo17	Parent	64.615	No	
Mo17	Parent	59.105	No	
Mo17	Parent	62.912	No	
Mo17	Parent	52.689	No	
Mo17	Parent	56.447	No	
Mo17	Parent	62.218	No	
Mo17	Parent	54.861	No	
Mo17	Parent	63.089	No	
Mo17	Parent	60.424	No	
Mo17	Parent	49.599	No	
Mo17	Parent	54.018	No	
Mo17	Parent	56.965	No	
Mo17	Parent	55.68	No	
Mo17	Parent	34	No	
Mo17	Parent	51	No	
Mo17	Parent	62	No	
Mo17	Parent	63	No	
Mo17	Parent	46	No	
Mo17	Parent	48	No	
Mo17	Parent	46	No	
Mo17	Parent	47	No	
Mo17	Parent	32	No	
Mo17	Parent	55	No	
Mo17	Parent	56	No	
Mo17	Parent	58	No	
Mo17	Parent	62	No	
Mo17	Parent	64	No	
Mo17	Parent	67	No	
Mo17	Parent	58	No	
Mo17	Parent	53	No	
Mo17	Parent	61	No	
Mo17/PHW30	F1	66.786	No	
Mo17/PHW30	F1	74.066	No	
Mo17/PHW30	F1	71.596	No	
Mo17/PHW30	F1	76.175	No	
Mo17/PHW30	F1	67.471	No	
Mo17/PHW30	F1	61.225	No	
Mo17/PHW30	F1	64.127	No	
Mo17/PHW30	F1	69.18	No	
Mo17/PHW30	F1	58.357	No	
Mo17/PHW30	F1	62.869	No	
Mo17/PHW30	F1	67.709	No	
Mo17/PHW30	F1	64.647	No	
Mo17/PHW30	F1	71.638	No	
Mo17/PHW30	F1	70.707	No	
Mo17/PHW30	F1	71.528	No	
Mo17/PHW30	F1	74.221	No	
Mo17/PHW30	F1	75.464	No	
Mo17/PHW30	F1	67.181	No	
Mo17/PHW30	F1	73.225	No	
Mo17/PHW30	F1	72.688	No	
Mo17/PHW30	F1	71.082	No	
Mo17/PHW30	F1	74.434	No	
Mo17/PHW30	F1	60.433	No	
Mo17/PHW30	F1	62.951	No	
Mo17/PHW30	F1	65.913	No	
Mo17/PHW30	F1	64.94	No	
Mo17/PHW30	F1	67.75	No	
Mo17/PHW30	F1	66.72	No	
Mo17/PHW30	F1	67.385	No	
Mo17/PHW30	F1	67.012	No	
Mo17/PHW30	F1	65.272	No	
Mo17/PHW30	F1	61.09	No	
Mo17/PHW30	F1	64.556	No	
Mo17/PHW30	F1	65.716	No	
Mo17/PHW30	F1	69.31	No	
Mo17/PHW30	F1	72.703	No	
Mo17/PHW30	F1	76.715	No	
Mo17/PHW30	F1	71.367	No	
Mo17/PHW30	F1	67.311	No	
Mo17/PHW30	F1	70.456	No	
Mo17/PHW30	F1	69.191	No	
Mo17/PHW30	F1	63.701	No	
Mo17/PHW30	F1	64.32	No	
Mo17/PHW30	F1	64.538	No	
Mo17/PHW30	F1	69.694	No	
Mo17/PHW30	F1	64.921	No	
Mo17/PHW30	F1	64.417	No	
Mo17/PHW30	F1	71.263	No	
Mo17/PHW30_001	Mo17/PHW30	57.918	No	
Mo17/PHW30_002	Mo17/PHW30	69.734	No	
Mo17/PHW30_003	Mo17/PHW30	65.705	No	
Mo17/PHW30_004	Mo17/PHW30	NA	No	
Mo17/PHW30_005	Mo17/PHW30	68.905	No	
Mo17/PHW30_006	Mo17/PHW30	63.114	No	
Mo17/PHW30_007	Mo17/PHW30	66.534	No	
Mo17/PHW30_008	Mo17/PHW30	68.128	Yes	Average
Mo17/PHW30_009	Mo17/PHW30	59.348	Yes	Flat
